,From,To,Distance,Line
491,阎村东,苏庄,2200,房山线路网车站站间距信息
492,起始站名,目的站名,距离（米）,亦庄线路网车站站间距信息
493,肖村,宋家庄,2631,亦庄线路网车站站间距信息
494,小红门,肖村,1275,亦庄线路网车站站间距信息
495,旧宫,小红门,2366,亦庄线路网车站站间距信息
496,亦庄桥,旧宫,1982,亦庄线路网车站站间距信息
497,亦庄文化园,亦庄桥,993,亦庄线路网车站站间距信息
498,万源街,亦庄文化园,1538,亦庄线路网车站站间距信息
499,荣京东街,万源街,1280,亦庄线路网车站站间距信息
500,荣昌东街,荣京东街,1354,亦庄线路网车站站间距信息
501,同济南路,荣昌东街,2338,亦庄线路网车站站间距信息
502,经海路,同济南路,2265,亦庄线路网车站站间距信息
503,次渠南,经海路,2086,亦庄线路网车站站间距信息
504,次渠,次渠南,1281,亦庄线路网车站站间距信息
505,亦庄火车站,次渠,1334,亦庄线路网车站站间距信息
506,起始站名,目的站名,距离（米）,八通线路网车站站间距信息
507,四惠,四惠东,1715,八通线路网车站站间距信息
508,四惠东,高碑店,1375,八通线路网车站站间距信息
509,高碑店,传媒大学,2002,八通线路网车站站间距信息
510,传媒大学,双桥,1894,八通线路网车站站间距信息
511,双桥,管庄,1912,八通线路网车站站间距信息
512,管庄,八里桥,1763,八通线路网车站站间距信息
513,八里桥,通州北苑,1700,八通线路网车站站间距信息
514,通州北苑,果园,1465,八通线路网车站站间距信息
515,果园,九棵树,990,八通线路网车站站间距信息
516,九棵树,梨园,1225,八通线路网车站站间距信息
517,梨园,临河里,1257,八通线路网车站站间距信息
518,临河里,土桥,776,八通线路网车站站间距信息
519,土桥,花庄,2238,八通线路网车站站间距信息
520,花庄,环球度假区,1863,八通线路网车站站间距信息
521,起始站名,目的站名,距离（米）,首都机场线路网车站站间距信息
522,东直门,北新桥,1622,首都机场线路网车站站间距信息
523,三元桥,东直门,3022,首都机场线路网车站站间距信息
524,2号航站楼,3号航站楼,20738,首都机场线路网车站站间距信息
525,3号航站楼,三元桥,18322,首都机场线路网车站站间距信息
