,From,To,Distance,Line
232,太阳宫,芍药居,1003,10号线路网车站站间距信息
233,三元桥,太阳宫,1759,10号线路网车站站间距信息
234,亮马桥,三元桥,1535,10号线路网车站站间距信息
235,农业展览馆,亮马桥,914,10号线路网车站站间距信息
236,团结湖,农业展览馆,853,10号线路网车站站间距信息
237,呼家楼,团结湖,1150,10号线路网车站站间距信息
238,金台夕照,呼家楼,734,10号线路网车站站间距信息
239,国贸,金台夕照,835,10号线路网车站站间距信息
240,双井,国贸,1760,10号线路网车站站间距信息
241,劲松,双井,1033,10号线路网车站站间距信息
242,潘家园,劲松,1021,10号线路网车站站间距信息
243,十里河,潘家园,1073,10号线路网车站站间距信息
244,分钟寺,十里河,1803,10号线路网车站站间距信息
245,成寿寺,分钟寺,1060,10号线路网车站站间距信息
246,宋家庄,成寿寺,1675,10号线路网车站站间距信息
247,石榴庄,宋家庄,1273,10号线路网车站站间距信息
248,大红门,石榴庄,1244,10号线路网车站站间距信息
249,角门东,大红门,1124,10号线路网车站站间距信息
250,角门西,角门东,1259,10号线路网车站站间距信息
251,草桥,角门西,1688,10号线路网车站站间距信息
252,纪家庙,草桥,1550,10号线路网车站站间距信息
253,首经贸,纪家庙,1119,10号线路网车站站间距信息
254,丰台站,首经贸,1717,10号线路网车站站间距信息
255,泥洼,丰台站,954,10号线路网车站站间距信息
256,西局,泥洼,749,10号线路网车站站间距信息
257,六里桥,西局,1587,10号线路网车站站间距信息
258,莲花桥,六里桥,2365,10号线路网车站站间距信息
259,公主坟,莲花桥,1041,10号线路网车站站间距信息
260,西钓鱼台,公主坟,2386,10号线路网车站站间距信息
261,慈寿寺,西钓鱼台,1215,10号线路网车站站间距信息
262,车道沟,慈寿寺,1591,10号线路网车站站间距信息
263,长春桥,车道沟,1206,10号线路网车站站间距信息
264,火器营,长春桥,778,10号线路网车站站间距信息
265,起始站名,目的站名,距离（米）,11号线路网车站站间距信息
266,金安桥,北辛安,689,11号线路网车站站间距信息
267,北辛安,新首钢,850,11号线路网车站站间距信息
268,起始站名,目的站名,距离（米）,13号线路网车站站间距信息
269,大钟寺,西直门,2839,13号线路网车站站间距信息
270,知春路,大钟寺,1206,13号线路网车站站间距信息
271,五道口,知春路,1829,13号线路网车站站间距信息
272,上地,五道口,4966,13号线路网车站站间距信息
273,清河站,上地,1036,13号线路网车站站间距信息
274,西二旗,清河站,2364,13号线路网车站站间距信息
275,龙泽,西二旗,3797,13号线路网车站站间距信息
276,回龙观,龙泽,1423,13号线路网车站站间距信息
277,霍营,回龙观,2110,13号线路网车站站间距信息
278,立水桥,霍营,4786,13号线路网车站站间距信息
279,北苑,立水桥,2272,13号线路网车站站间距信息
280,望京西,北苑,6720,13号线路网车站站间距信息
281,芍药居,望京西,2152,13号线路网车站站间距信息
282,光熙门,芍药居,1110,13号线路网车站站间距信息
283,柳芳,光熙门,1135,13号线路网车站站间距信息
284,东直门,柳芳,1769,13号线路网车站站间距信息
285,起始站名,目的站名,距离（米）,14号线路网车站站间距信息
286,张郭庄,园博园,1345,14号线路网车站站间距信息
287,园博园,张郭庄,1345,14号线路网车站站间距信息
288,园博园,大瓦窑,4073,14号线路网车站站间距信息
289,大瓦窑,园博园,4073,14号线路网车站站间距信息
290,大瓦窑,郭庄子,1236,14号线路网车站站间距信息
291,郭庄子,大瓦窑,1236,14号线路网车站站间距信息
292,郭庄子,大井,2044,14号线路网车站站间距信息
293,大井,郭庄子,2044,14号线路网车站站间距信息
294,大井,七里庄,1579,14号线路网车站站间距信息
295,七里庄,大井,1579,14号线路网车站站间距信息
296,七里庄,西局,845,14号线路网车站站间距信息
297,西局,七里庄,845,14号线路网车站站间距信息
298,北京南站,陶然桥,887,14号线路网车站站间距信息
299,陶然桥,北京南站,887,14号线路网车站站间距信息
300,陶然桥,永定门外,1063,14号线路网车站站间距信息
301,永定门外,陶然桥,1063,14号线路网车站站间距信息
302,永定门外,景泰,1119,14号线路网车站站间距信息
303,景泰,永定门外,1119,14号线路网车站站间距信息
304,景泰,蒲黄榆,1025,14号线路网车站站间距信息
305,蒲黄榆,景泰,1025,14号线路网车站站间距信息
306,蒲黄榆,方庄,1486,14号线路网车站站间距信息
307,方庄,蒲黄榆,1486,14号线路网车站站间距信息
308,方庄,十里河,1618,14号线路网车站站间距信息
309,十里河,方庄,1618,14号线路网车站站间距信息
310,十里河,南八里庄,1147,14号线路网车站站间距信息
311,南八里庄,十里河,1147,14号线路网车站站间距信息
312,南八里庄,北工大西门,1276,14号线路网车站站间距信息
313,北工大西门,南八里庄,1276,14号线路网车站站间距信息
314,北工大西门,平乐园,1128,14号线路网车站站间距信息
315,平乐园,北工大西门,1128,14号线路网车站站间距信息
316,平乐园,九龙山,897,14号线路网车站站间距信息
317,九龙山,平乐园,897,14号线路网车站站间距信息
318,九龙山,大望路,1780,14号线路网车站站间距信息
319,大望路,九龙山,1780,14号线路网车站站间距信息
320,大望路,红庙,708,14号线路网车站站间距信息
321,红庙,大望路,708,14号线路网车站站间距信息
322,红庙,金台路,894,14号线路网车站站间距信息
323,金台路,红庙,894,14号线路网车站站间距信息
324,金台路,朝阳公园,1085,14号线路网车站站间距信息
325,朝阳公园,金台路,1085,14号线路网车站站间距信息
326,朝阳公园,枣营,1221,14号线路网车站站间距信息
327,枣营,朝阳公园,1221,14号线路网车站站间距信息
328,枣营,东风北桥,2173,14号线路网车站站间距信息
329,东风北桥,枣营,2173,14号线路网车站站间距信息
330,东风北桥,将台,1600,14号线路网车站站间距信息
331,将台,东风北桥,1600,14号线路网车站站间距信息
332,将台,高家园,1171,14号线路网车站站间距信息
333,高家园,将台,1171,14号线路网车站站间距信息
334,高家园,望京南,676,14号线路网车站站间距信息
335,望京南,高家园,676,14号线路网车站站间距信息
336,望京南,阜通,1168,14号线路网车站站间距信息
337,阜通,望京南,1168,14号线路网车站站间距信息
338,阜通,望京,903,14号线路网车站站间距信息
339,望京,阜通,903,14号线路网车站站间距信息
340,望京,东湖渠,1283,14号线路网车站站间距信息
341,东湖渠,望京,1283,14号线路网车站站间距信息
342,东湖渠,来广营,1100,14号线路网车站站间距信息
343,来广营,东湖渠,1100,14号线路网车站站间距信息
344,来广营,善各庄,1364,14号线路网车站站间距信息
345,善各庄,来广营,1364,14号线路网车站站间距信息
346,起始站名,目的站名,距离（米）,15号线路网车站站间距信息
347,清华东路西口,六道口,1145,15号线路网车站站间距信息
348,六道口,北沙滩,1337,15号线路网车站站间距信息
349,北沙滩,奥林匹克公园,1999,15号线路网车站站间距信息
350,奥林匹克公园,安立路,1369,15号线路网车站站间距信息
351,安立路,大屯路东,938,15号线路网车站站间距信息
352,大屯路东,关庄,1087,15号线路网车站站间距信息
353,关庄,望京西,2039,15号线路网车站站间距信息
354,望京西,望京,1759,15号线路网车站站间距信息
355,望京,望京东,1652,15号线路网车站站间距信息
356,望京东,崔各庄,2295,15号线路网车站站间距信息
357,崔各庄,马泉营,2009,15号线路网车站站间距信息
358,马泉营,孙河,3309,15号线路网车站站间距信息
359,孙河,国展,3387,15号线路网车站站间距信息
360,国展,花梨坎,1616,15号线路网车站站间距信息
361,花梨坎,后沙峪,3354,15号线路网车站站间距信息
